id,value,feed_id,created_at,lat,lon,ele
0FD33HHT37NZPQB7FS3EPSP04S,33,2497174,2023-09-09 14:18:51 ,,,
0FD33HNPTM9ZYTQ6K5Z2CY5SM8,33,2497174,2023-09-09 14:19:04 ,,,
0FD33HSX1B640WR10A8N4TD0SK,33,2497174,2023-09-09 14:19:17 ,,,
0FD33HX9A3REPC861CB5SAAZN2,33,2497174,2023-09-09 14:19:28 ,,,
0FD33J24XT2RQEN1ESEC9AAHXE,33,2497174,2023-09-09 14:19:44 ,,,
0FD33J72GYRSR5DXVPX77SYE5C,33,2497174,2023-09-09 14:20:01 ,,,
0FD33JCRZH9X5VRV4CESRQEYWW,33,2497174,2023-09-09 14:20:19 ,,,
0FD33JFCDR7AV5P5AAPM9Q7AE8,33,2497174,2023-09-09 14:20:28 ,,,
0FD33JN03V35PNW4MENDDRZ3CB,33,2497174,2023-09-09 14:20:46 ,,,
0FD33JS80ZTS470W61MN38YRA4,33,2497174,2023-09-09 14:21:00 ,,,
0FD33JY50W9YN8SDP4VV7DC2B1,33,2497174,2023-09-09 14:21:16 ,,,
0FD33K32WT9GWHFRATBKWJXNEF,33,2497174,2023-09-09 14:21:32 ,,,
0FD33K6F1JV32SFNXC686ZXJ1X,33,2497174,2023-09-09 14:21:43 ,,,
0FD33KBCZ4K03EB00MHPCJSJHK,33,2497174,2023-09-09 14:22:00 ,,,
0FD33KGTYM7W23P0NZD0CQ3GJK,33,2497174,2023-09-09 14:22:17 ,,,
0FD33KN7MAV231ADCCD5YJZSCN,33,2497174,2023-09-09 14:22:32 ,,,
0FD33KRM0VQTGWJ6V7QSPHNNEC,33,2497174,2023-09-09 14:22:43 ,,,
0FD33KXHCG3WZKAD6KYCJXM72A,33,2497174,2023-09-09 14:22:59 ,,,
0FD33M2EQ3E9DJ5MAA07NGJGR2,33,2497174,2023-09-09 14:23:15 ,,,
0FD33M7C6W66949W2JFW9B03S8,33,2497174,2023-09-09 14:23:31 ,,,
0FD33MCAEG9EHKWCVJB9KJ9FC9,33,2497174,2023-09-09 14:23:47 ,,,
0FD33MFP85PB57V2HDEZ5DE814,33,2497174,2023-09-09 14:23:59 ,,,
0FD33MMMANQBAP8611R602HA46,33,2497174,2023-09-09 14:24:15 ,,,
0FD33MSHEJCW0RC1XS8Q7S5HJ3,33,2497174,2023-09-09 14:24:31 ,,,
0FD33MYF4FANNZBMP9FPQS50S1,33,2497174,2023-09-09 14:24:47 ,,,
0FD33N1VJNZQZRM7XR16GF40NK,33,2497174,2023-09-09 14:24:58 ,,,
0FD33N6RY4Y9J3V4JZMHGD25PS,33,2497174,2023-09-09 14:25:14 ,,,
0FD33NBPE3X69YH7RWTJH1XN1V,33,2497174,2023-09-09 14:25:30 ,,,
0FD33NGM0HG17T8RV3SJG8XVNC,33,2497174,2023-09-09 14:25:46 ,,,
0FD33NNHG9YZWK0ZBBMTGZ1G7S,33,2497174,2023-09-09 14:26:03 ,,,
0FD33NRXPCCPQ9J1E6PMPVX5J9,33,2497174,2023-09-09 14:26:14 ,,,
0FD33NXV8D1Q2YW84R1W0TNE12,33,2497174,2023-09-09 14:26:30 ,,,
0FD33P2RY92Z5JH2DWZZHWDZGA,33,2497174,2023-09-09 14:26:46 ,,,
0FD33P7PH4EK8BXPP39H4HR19M,33,2497174,2023-09-09 14:27:02 ,,,
0FD33PB32CNGJN4SR3S5KJN3P1,33,2497174,2023-09-09 14:27:13 ,,,
0FD33PG0X44Y0187D4BCB7QFG4,33,2497174,2023-09-09 14:27:29 ,,,
0FD33PMYNCM0M1AKX3PKG82TS9,33,2497174,2023-09-09 14:27:45 ,,,
0FD33PSW8GCDE1ZN54PK5QS1FB,33,2497174,2023-09-09 14:28:02 ,,,
0FD33PYSY7KD9464GZFBP3JBP5,33,2497174,2023-09-09 14:28:18 ,,,
0FD33Q269WSAHCM8T4CHJ1HSJZ,33,2497174,2023-09-09 14:28:29 ,,,
0FD33Q73RG64T0C2044QTEB387,33,2497174,2023-09-09 14:28:45 ,,,
0FD33QCJSZG79PWBQ9TH6VQ5C6,33,2497174,2023-09-09 14:29:03 ,,,
0FD33QHP4SKHET2J1W0WYQ8QKN,33,2497174,2023-09-09 14:29:20 ,,,
0FD33QZXAH262BP9ND4S76AXP2,33,2497174,2023-09-09 14:30:06 ,,,
0FD33QZXB3Q4TQHYSWE2DDZ4J1,33,2497174,2023-09-09 14:30:06 ,,,
0FD33QZXD3H0K5XSMEZNHDRSYP,33,2497174,2023-09-09 14:30:06 ,,,
0FD33R36WHNTPP5CXNNC368Q0K,33,2497174,2023-09-09 14:30:17 ,,,
0FD33R81Q91WAY793C0S061GX0,33,2497174,2023-09-09 14:30:33 ,,,
0FD33RCE1Q5J3TYNZGSE1HXF17,33,2497174,2023-09-09 14:30:47 ,,,
0FD33RGBQYPWQPE2BTPSY43FVY,33,2497174,2023-09-09 14:31:00 ,,,
0FD33RN9HDHQNPAAQ553Q74Q53,33,2497174,2023-09-09 14:31:16 ,,,
0FD33RT76AW150HK399AQ4B0TJ,33,2497174,2023-09-09 14:31:32 ,,,
0FD33RXKEVY0BJDHZV6YHSREKG,33,2497174,2023-09-09 14:31:44 ,,,
0FD33S34JY40FPYE5P6XW5M381,33,2497174,2023-09-09 14:32:02 ,,,
0FD33S7ET13VWP4SR9DJDS0EF6,33,2497174,2023-09-09 14:32:16 ,,,
